name,categories,class
Bami,"Zutaten,Nudelsorten",Veggie
Banane,"Zutaten,Beerenfrüchtesorten",Veggie
Bananen-Fruchtsaftgetränk,"Zutaten,Fruchtgetränke",Veggie
Bananen-Nektar,"Zutaten,Fruchtgetränke",Veggie
Bananenlikör,"Zutaten,Fruchtliköre",Veggie
Bananennektar,"Zutaten,Fruchtgetränke",Veggie
Bananensaft,"Zutaten,Fruchtgetränke",Veggie
Bananensirup,"Zutaten,Süßungsmittel",Veggie
Bandnudeln,"Begriffsklärung,Nudelsorten,Zutaten",Veggie
Banon,"Zutaten,Weichkäsesorten",Veggie
Barackpálinka,"Zutaten,Obstbranntweine",Veggie
Barbecuesauce,"Zutaten,Aromazutaten",Veggie
Barbine,"Zutaten,Nudelsorten",Veggie
Bärlauch,"Zutaten,Küchenkräuter",Veggie
Bärlauchöl,"Zutaten,Aromazutaten",Veggie
Barramundi,"Zutaten,Bedrohte Fischarten",Fisch
Barsch,"Zutaten,Empfohlene Fischarten",Fisch
Bärwurz,"Zutaten,Küchenkräuter",Veggie
Basilikum,"Zutaten,Küchenkräuter",Veggie
Basmatireis,"Zutaten,Reissorten",Veggie
Bastardo del Grappa,"Zutaten,Venezianischer und Friauler Käse",Veggie
Batida de Coco,"Zutaten,Emulsionsliköre",Veggie
Bauchfleisch vom Rind,"Zutaten,Rindfleischteile",Fleisch
Bauchspeck,"Zutaten,Schweinefleischteile",Fleisch
Bauernbratwurst,"Zutaten,Rohwurstsorten",Fleisch
Bavaria blu,"Zutaten,Deutscher Käse,Blauschimmelkäsesorten,Weichkäsesorten,Weißschimmelkäsesorten",Veggie
Bavette,"Zutaten,Bandnudelsorten",Veggie
Bayerische Rübe,"Zutaten,Rübensorten",Veggie
Bayonner Schinken,"Zutaten,Schinkensorten",Fleisch
Beaufort,"Zutaten,Schnittkäsesorten,Käse aus Rhône-Alpes",Veggie
Becherovka,"Zutaten,Kräuterliköre",Veggie
Beerenburg,"Zutaten,Kräuterliköre",Veggie
Beifuß,"Zutaten,Küchenkräuter",Veggie
Beinschinken,"Zutaten,Schinkensorten,Schweinefleischteile",Fleisch
Beinwell,"Zutaten,Gewürze,Küchenkräuter",Veggie
Bel Paese,"Zutaten,Lombardischer Käse,Schnittkäsesorten",Veggie
Belana,"Zutaten,Festkochend",Veggie
Belgische Meeresfrüchte,Zutaten,Veggie
Belugalinse,"Zutaten,Linsensorten",Veggie
Bénédictine,"Zutaten,Kräuterliköre",Veggie
Berber (Kartoffel),"Zutaten,Vorwiegend festkochend",Veggie
Berberitze,"Zutaten,Küchenkräuter",Veggie
